,2019q2,2018q4,2019q3,2019q1,2019q4
ProfitLoss,-3900000.0,28241000.0,16300000.0,8900000.0,
DepreciationDepletionAndAmortization,20600000.0,68190000.0,42700000.0,,
AmortizationOfFinancingCostsAndDiscounts,500000.0,1515000.0,900000.0,1800000.0,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,1000000.0,719000.0,300000.0,5200000.0,
GainLossOnDispositionOfAssets,200000.0,14642000.0,500000.0,700000.0,
DeferredIncomeTaxesAndTaxCredits,2200000.0,10113000.0,-200000.0,16800000.0,
ProvisionForDoubtfulAccounts,1000000.0,3422000.0,2000000.0,4600000.0,
ShareBasedCompensation,2200000.0,6523000.0,5100000.0,10400000.0,
OtherNoncashIncomeExpense,200000.0,,500000.0,-600000.0,
IncreaseDecreaseInAccountsReceivable,-600000.0,30076000.0,35500000.0,25600000.0,
IncreaseDecreaseInInventories,-700000.0,153000.0,1600000.0,3800000.0,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,3500000.0,-1565000.0,4600000.0,2300000.0,
IncreaseDecreaseInOtherOperatingCapitalNet,1300000.0,-201000.0,1300000.0,-2200000.0,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-1200000.0,17279000.0,2900000.0,16700000.0,
NetCashProvidedByUsedInOperatingActivities,21900000.0,84246000.0,47900000.0,116000000.0,
PaymentsToAcquirePropertyPlantAndEquipment,8400000.0,15292000.0,10900000.0,42700000.0,
PaymentsToAcquireBusinessesAndInterestInAffiliates,60300000.0,56796000.0,0.0,72300000.0,
ProceedsFromSaleOfPropertyPlantAndEquipment,400000.0,2308000.0,1200000.0,4300000.0,
ProceedsFromInsuranceSettlementInvestingActivities,1600000.0,2154000.0,,2600000.0,
NetCashProvidedByUsedInInvestingActivities,-66700000.0,-86611000.0,-78600000.0,-162700000.0,
ProceedsFromBankDebt,135700000.0,338213000.0,163300000.0,128900000.0,
RepaymentsOfBankDebt,69700000.0,0.0,157800000.0,425200000.0,
ProceedsFromStockOptionsExercised,0.0,78000.0,200000.0,100000.0,
RepaymentsOfOtherDebt,3500000.0,7722000.0,11600000.0,13400000.0,
RepaymentsOfOtherLongTermDebt,6400000.0,14317000.0,14100000.0,9000000.0,
PaymentsForRepurchaseOfCommonStock,1200000.0,3046000.0,1900000.0,0.0,
NetCashProvidedByUsedInFinancingActivities,54900000.0,-943000.0,-24300000.0,118600000.0,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-100000.0,,-100000.0,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,14000000.0,,1700000.0,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,23900000.0,,22600000.0,,
InterestPaidNet,1400000.0,24515000.0,22700000.0,24500000.0,
IncomeTaxesPaidNet,0.0,2896000.0,2700000.0,2500000.0,
CapitalExpendituresIncurredButNotYetPaid,1300000.0,45517000.0,20000000.0,,
BusinessCombinationContingentConsiderationArrangementsRangeOfOutcomesValueHigh,0.0,1143000.0,900000.0,,
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,800000.0,,,,
AmortizationOfDiscountOnLongTermIncentivePlanAndOtherAccruedInterest,,530000.0,,,
AmortizationOfDebtDiscountPremium,,-1163000.0,,,
DerivativeGainLossOnDerivativeNet,,13119000.0,,0.0,
GainsLossesOnExtinguishmentOfDebt,,0.0,,-12000000.0,
AssetImpairmentCharges,,648000.0,1300000.0,0.0,
ForeignCurrencyTransactionGainLossUnrealized,,0.0,,,
PaymentsOfAdvancesForNotesReceivable,,8063000.0,,,
PaymentsForEnvironmentalCredits,,0.0,,0.0,
ProceedsFromIssuanceOfSeniorLongTermDebt,,211500000.0,,400000000.0,
PaymentsOfDebtIssuanceCosts,,4332000.0,,0.0,
PaymentsToMinorityShareholders,,249000.0,,,
ProceedsFromPaymentsForOtherFinancingActivities,,464000.0,500000.0,600000.0,
EffectOfExchangeRateOnCashAndCashEquivalents,,-61000.0,,-300000.0,
CashAndCashEquivalentsPeriodIncreaseDecrease,,2601000.0,,71900000.0,
CashAndCashEquivalentsAtCarryingValue,,75774000.0,,22600000.0,
GainLossOnCondemnationAndInsuranceRecoveries,,,6000000.0,,
ProceedsFromCondemnationAndInsuranceRecoveries,,,2100000.0,,
DepreciationAndAmortization,,,,54900000.0,
RepaymentsOfSeniorDebt,,,,0.0,
PaymentsOfDebtExtinguishmentCosts,,,,8500000.0,
PaymentsForRepurchaseOfTreasuryStockOther,,,,1900000.0,
CapitalLeaseObligationsIncurredAndPromissoryNotes,,,,39400000.0,
StockIssued1,,,,7500000.0,
