filed,adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,accepted,prevrpt,detail,instance,nciks,aciks,yr,fik,quarter
20181015,0001171520-18-000457,1171520,SONO TEK CORP,3690.0,US,NY,MILTON,12547,2012 RT 9W BLDG 3,,8457952020,US,NY,MILTON,12547,"2012 RT. 9W, BLDG. 3,",,US,NY,141568099.0,,,5-SML,0,228.0,10-Q,20180831,2019.0,Q2,2018-10-15 17:28:00.0,0,1,sotk-20180831.xml,1,,18,457,2018q4
20181113,0001171520-18-000497,1171520,PLYMOUTH INDUSTRIAL REIT INC.,6798.0,US,MA,BOSTON,02110,"260 FRANKLIN ST., 19TH FLOOR",,617-340-3814,US,MA,BOSTON,02110,"260 FRANKLIN ST., 19TH FLOOR",,US,MD,275466153.0,PLYMOUTH OPPORTUNITY REIT INC.,20110317.0,4-NON,0,1231.0,10-Q,20180930,2018.0,Q3,2018-11-13 16:17:00.0,0,1,plym-20180930.xml,1,,18,497,2018q4
20181119,0001171520-18-000503,1171520,ALPHA NETWORK ALLIANCE VENTURES INC.,6770.0,US,CA,RIVERSIDE,92505,"11801 PIERCE ST., 2ND FLOOR",,(888) 770-508,US,CA,RIVERSIDE,92505,"11801 PIERCE ST., 2ND FLOOR",,,,451649826.0,"DAEDALUS VENTURES, INC.",20100512.0,5-SML,0,1231.0,10-Q,20180930,2018.0,Q3,2018-11-19 15:08:00.0,0,1,anav-20180930.xml,1,,18,503,2018q4
20190114,0001171520-19-000039,1171520,SONO TEK CORP,3690.0,US,NY,MILTON,12547,2012 RT 9W BLDG 3,,8457952020,US,NY,MILTON,12547,"2012 RT. 9W, BLDG. 3,",,US,NY,141568099.0,,,4-NON,0,228.0,10-Q,20181130,2019.0,Q3,2019-01-14 16:36:00.0,0,1,sotk-20181130.xml,1,,19,39,2019q1
20190308,0001171520-19-000138,1171520,PLYMOUTH INDUSTRIAL REIT INC.,6798.0,US,MA,BOSTON,02110,"260 FRANKLIN ST., 7TH FLOOR",,617-340-3814,US,MA,BOSTON,02110,"260 FRANKLIN ST., 7TH FLOOR",,US,MD,275466153.0,PLYMOUTH OPPORTUNITY REIT INC.,20110317.0,4-NON,0,1231.0,10-K,20181231,2018.0,FY,2019-03-08 06:32:00.0,0,1,plym-20181231.xml,1,,19,138,2019q1
20190415,0001171520-19-000171,1171520,ALPHA NETWORK ALLIANCE VENTURES INC.,6770.0,US,CA,RIVERSIDE,92505,"11801 PIERCE ST., 2ND FLOOR",,(888) 770-508,US,CA,RIVERSIDE,92505,"11801 PIERCE ST., 2ND FLOOR",,,,451649826.0,"DAEDALUS VENTURES, INC.",20100512.0,4-NON,0,1231.0,10-K,20181231,2018.0,FY,2019-04-15 15:16:00.0,0,1,anav-20181231.xml,1,,19,171,2019q2
20190509,0001171520-19-000187,1171520,PLYMOUTH INDUSTRIAL REIT INC.,6798.0,US,MA,BOSTON,02110,"260 FRANKLIN ST., 7TH FLOOR",,617-340-3814,US,MA,BOSTON,02110,"260 FRANKLIN ST., 7TH FLOOR",,US,MD,275466153.0,PLYMOUTH OPPORTUNITY REIT INC.,20110317.0,4-NON,0,1231.0,10-Q,20190331,2019.0,Q1,2019-05-09 06:36:00.0,0,1,plym-20190331.xml,1,,19,187,2019q2
20190528,0001171520-19-000214,1171520,SONO TEK CORP,3690.0,US,NY,MILTON,12547,2012 RT 9W BLDG 3,,8457952020,US,NY,MILTON,12547,"2012 RT. 9W, BLDG. 3,",,US,NY,141568099.0,,,4-NON,0,228.0,10-K,20190228,2018.0,FY,2019-05-28 17:27:00.0,0,1,sotk-20190228.xml,1,,19,214,2019q2
20190715,0001171520-19-000237,1171520,SONO TEK CORP,3690.0,US,NY,MILTON,12547,2012 RT 9W BLDG 3,,8457952020,US,NY,MILTON,12547,"2012 RT. 9W, BLDG. 3,",,US,NY,141568099.0,,,4-NON,0,228.0,10-Q,20190531,2020.0,Q1,2019-07-15 17:27:00.0,0,1,sotk-20180531.xml,1,,19,237,2019q3
20190808,0001171520-19-000253,1171520,PLYMOUTH INDUSTRIAL REIT INC.,6798.0,US,MA,BOSTON,02110,"260 FRANKLIN ST., 7TH FLOOR",,617-340-3814,US,MA,BOSTON,02110,"260 FRANKLIN ST., 7TH FLOOR",,US,MD,275466153.0,PLYMOUTH OPPORTUNITY REIT INC.,20110317.0,4-NON,0,1231.0,10-Q,20190630,2019.0,Q2,2019-08-08 06:36:00.0,0,1,plym-20190630.xml,1,,19,253,2019q3
