,2019q2,2018q4,2019q3,2019q1,2019q4
InterestIncomeOperating,383573000.0,425524000.0,403805000.0,1076735000.0,1303041000.0
InterestExpense,124387000.0,421109000.0,228004000.0,162806000.0,686738000.0
InterestIncomeExpenseNet,259186000.0,262718000.0,529075000.0,1057790000.0,791793000.0
OtherThanTemporaryImpairmentLossesInvestmentsAvailableforsaleSecurities,7516000.0,23190000.0,19301000.0,,
ProvisionForLoanLeaseAndOtherLosses,19007000.0,65381000.0,18732000.0,60624000.0,-10690000.0
TotalImpairmentCharges,25677000.0,51326000.0,16289000.0,90641000.0,-5123000.0
InterestIncomeExpenseAfterProvisionForLoanLoss,213239000.0,749431000.0,165732000.0,615331000.0,253358000.0
ContractuallySpecifiedServicingFeesLateFeesAndAncillaryFeesEarnedInExchangeForServicingFinancialAssets,217236000.0,538784000.0,80316000.0,-10189000.0,175355000.0
GainLossOnSaleOfOriginatedMortgageLoansNet,43984000.0,0.0,49504000.0,43285000.0,45732000.0
InvestmentsInExcessMortgageServicingRightsChangeInFairValue,-45691000.0,-55711000.0,-50967000.0,-58656000.0,2407000.0
InvestmentsInExcessMortgageServicingRightsChangeInFairValueEquityMethodInvestees,523000.0,3396000.0,2228000.0,8357000.0,4751000.0
InvestmentsinFinancingReceivableChangeinFairValue,-36379000.0,63628000.0,151973000.0,31550000.0,-88345000.0
InvestmentsInServicerAdvancesChangeInFairValue,-79476000.0,-5353000.0,1388000.0,-7768000.0,6641000.0
InvestmentsInResidentialMortgageLoansChangeInFairValue,0.0,,95025000.0,0.0,-19037000.0
UnrealizedGainLossOnDerivatives,2446000.0,,-36729000.0,,27985000.0
GainLossOnSettlementOfInvestmentNet,-27323000.0,-11893000.0,117957000.0,10310000.0,106064000.0
IncomeLossFromEquityMethodInvestments,4311000.0,12343000.0,7788000.0,25617000.0,-890000.0
NonoperatingIncomeExpense,7538000.0,39047000.0,18768000.0,-124336000.0,10415000.0
NonoperatingGainsLosses,-40780000.0,87145000.0,-96812000.0,66488000.0,113633000.0
GeneralAndAdministrativeExpense,20007000.0,19919000.0,20575000.0,67159000.0,351359000.0
ManagementFeeToAffiliate,17960000.0,15464000.0,30563000.0,41610000.0,58261000.0
IncentiveCompensationToAffiliate,12958000.0,19491000.0,0.0,42197000.0,36307000.0
LoanPortfolioExpense,11514000.0,11060000.0,9372000.0,44001000.0,7192000.0
SubservicingExpense,46597000.0,135703000.0,45958000.0,176784000.0,135703000.0
OperatingExpenses,180387000.0,117060000.0,227570000.0,117060000.0,250565000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,607452000.0,272334000.0,-46597000.0,183228000.0,239220000.0
IncomeTaxExpenseBenefit,-6912000.0,-5957000.0,24420000.0,3563000.0,18980000.0
ProfitLoss,614364000.0,239721000.0,185836000.0,337403000.0,244660000.0
NetIncomeLossAttributableToNoncontrollingInterest,10111000.0,13600000.0,21189000.0,78263000.0,31979000.0
NetIncomeLossAvailableToCommonStockholdersBasic,604253000.0,963619000.0,779011000.0,321732000.0,184608000.0
EarningsPerShareBasic,1.83,0.74,2.34,2.12,0.83
EarningsPerShareDiluted,1.81,2.21,2.32,2.81,2.86
WeightedAverageNumberOfSharesOutstandingBasic,388279931.0,300511550.0,415463757.0,307344874.0,335615566.0
WeightedAverageNumberOfDilutedSharesOutstanding,388601075.0,340868403.0,415665460.0,238486772.0,340868403.0
CommonStockDividendsPerShareDeclared,0.5,1.5,0.5,0.5,1.5
OtherThanTemporaryImpairmentLossDebtSecuritiesAvailableForSale,,,,30017000.0,21942000.0
GainLossOnConsumerLoansInvestment,,,,0.0,
GainLossonRemeasurementofConsumerLoansInvestment,,,,71250000.0,
PreferredStockDividendsAndOtherAdjustments,,,,,0.0
