,2019q2,2018q4,2019q3,2019q1,2019q4
ResidentialMortgageLoansHeldforinvestmentFairValue,119512000.0,123606000.0,121088000.0,121088000.0,121088000.0
NotesAndBondsPayableFairValueDisclosure,116124000.0,117470000.0,117048000.0,117048000.0,474309000.0
ExcessMortgageServicingRightsFairValue,447860000.0,467061000.0,411537000.0,447860000.0,447860000.0
CommonStockParOrStatedValuePerShare,0.01,0.01,0.01,0.01,0.01
ExcessMortgageServicingRightsEquityMethodInvesteesFairValue,143200000.0,154939000.0,133468000.0,147964000.0,132259000.0
CommonStockSharesAuthorized,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0
MortgageServicingRightsFairValue,2884100000.0,2872004000.0,2884100000.0,2884100000.0,2884100000.0
CommonStockSharesIssued,415429677.0,340354429.0,369104429.0,369104429.0,415520780.0
CommonStockSharesOutstanding,415429677.0,340354429.0,415520780.0,307361309.0,369104429.0
MortgageServicingRightsFinancingReceivableatFairValue,1644504000.0,1681072000.0,1644504000.0,1644504000.0,1644504000.0
ServicerAdvances,697628000.0,4027379000.0,637914000.0,735846000.0,600547000.0
AvailableForSaleSecuritiesDebtSecurities,9747450000.0,8071140000.0,12125826000.0,11636581000.0,11636581000.0
ResidentialMortgageLoansHeldforinvestment,672350000.0,776323000.0,735329000.0,691155000.0,613657000.0
ResidentialMortgageLoansHeldForSale,997164000.0,1725534000.0,1154256000.0,932480000.0,932480000.0
ResidentialMortgageLoansHeldForSaleAtFairValue,3204322000.0,0.0,2808529000.0,2808529000.0,2808529000.0
InventoryRealEstate,113410000.0,115160000.0,113410000.0,113410000.0,
ResidentialMortgageLoansSubjectToRepurchase,0.0,0.0,121602000.0,0.0,121602000.0
LoansAndLeasesReceivableConsumerCarryingValue,1005660000.0,1374263000.0,938956000.0,1374263000.0,1072202000.0
ConsumerLoansEquityMethodInvestees,38294000.0,51412000.0,25486000.0,51412000.0,
CashAndCashEquivalentsAtCarryingValue,251058000.0,330148000.0,406038000.0,251058000.0,251058000.0
RestrictedCashAndCashEquivalents,168128000.0,155749000.0,164020000.0,150252000.0,164020000.0
ServicerAdvancesReceivableNet,3277796000.0,675593000.0,3047201000.0,675593000.0,3277796000.0
AccountsReceivableNet,7049723000.0,3424865000.0,5307642000.0,3925198000.0,4487772000.0
DeferredIncomeTaxAssetsNet,17719000.0,,39333000.0,65832000.0,43372000.0
PrepaidExpenseAndOtherAssets,688408000.0,312181000.0,1025872000.0,688408000.0,1724519000.0
Assets,31691013000.0,30090769000.0,36792375000.0,31691013000.0,41347925000.0
SecuritiesSoldUnderAgreementsToRepurchase,15553969000.0,14387020000.0,15553969000.0,15553969000.0,15553969000.0
NotesPayable,7102266000.0,7254946000.0,7297765000.0,7102266000.0,7102266000.0
AccountsPayableTradeCurrentAndNoncurrent,2048348000.0,1169896000.0,2048348000.0,2048348000.0,2048348000.0
ResidentialMortgageLoanRepurchaseLiability,121602000.0,110181000.0,121602000.0,0.0,
DueToAffiliateCurrentAndNoncurrent,101471000.0,74135000.0,27777000.0,88961000.0,
DividendsPayableCurrentAndNoncurrent,184552000.0,170177000.0,169931000.0,153681000.0,170177000.0
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,490510000.0,462161000.0,571292000.0,239114000.0,820291000.0
Liabilities,26497359000.0,24253721000.0,29991545000.0,17417400000.0,25602718000.0
CommitmentsAndContingencies,,,,,
CommonStockValue,3692000.0,3404000.0,3692000.0,3692000.0,3692000.0
AdditionalPaidInCapital,5497838000.0,3763188000.0,5498226000.0,4746242000.0,5498226000.0
RetainedEarningsAccumulatedDeficit,830713000.0,1014919000.0,830713000.0,559476000.0,545713000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax,417023000.0,364467000.0,686694000.0,417023000.0,706926000.0
StockholdersEquity,63602000.0,5743320000.0,66105000.0,4690205000.0,47314000.0
MinorityInterest,90625000.0,105957000.0,82865000.0,90625000.0,83652000.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,6912209000.0,3468177000.0,6800830000.0,2986580000.0,7262117000.0
LiabilitiesAndStockholdersEquity,31691013000.0,30090769000.0,36792375000.0,22213562000.0,31691013000.0
DeferredIncomeTaxLiabilitiesNet,,3910000.0,,19218000.0,
