filed,adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,accepted,prevrpt,detail,instance,nciks,aciks,yr,fik,quarter
20181026,0001572910-18-000044,1572910,PHILLIPS 66 PARTNERS LP,4610.0,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,855-283-9237,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,US,DE,383899432.0,,,1-LAF,0,1231.0,10-Q,20180930,2018.0,Q3,2018-10-26 15:42:00.0,0,1,psx-20180930.xml,1,,18,44,2018q4
20190222,0001572910-19-000011,1572910,PHILLIPS 66 PARTNERS LP,4610.0,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,855-283-9237,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,US,DE,383899432.0,,,1-LAF,1,1231.0,10-K,20181231,2018.0,FY,2019-02-22 14:11:00.0,0,1,psx-20181231.xml,1,,19,11,2019q1
20190430,0001572910-19-000024,1572910,PHILLIPS 66 PARTNERS LP,4610.0,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,855-283-9237,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,US,DE,383899432.0,,,1-LAF,0,1231.0,10-Q,20190331,2019.0,Q1,2019-04-30 15:55:00.0,0,1,psx-20190331.xml,1,,19,24,2019q2
20190726,0001572910-19-000032,1572910,PHILLIPS 66 PARTNERS LP,4610.0,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,855-283-9237,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,US,DE,383899432.0,,,,0,1231.0,8-K,20190731,2019.0,Q3,2019-07-26 10:51:00.0,0,0,mlp-2019630er8xk_htm.xml,1,,19,32,2019q3
20190726,0001572910-19-000036,1572910,PHILLIPS 66 PARTNERS LP,4610.0,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,855-283-9237,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,US,DE,383899432.0,,,1-LAF,0,1231.0,10-Q,20190630,2019.0,Q2,2019-07-26 15:52:00.0,0,1,mlp-201963010q_htm.xml,1,,19,36,2019q3
20190726,0001572910-19-000038,1572910,PHILLIPS 66 PARTNERS LP,4610.0,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,855-283-9237,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,US,DE,383899432.0,,,,0,1231.0,8-K,20190731,2019.0,Q3,2019-07-26 16:11:00.0,0,0,psxp-form8xkidrrestruc_htm.xml,1,,19,38,2019q3
20190801,0001572910-19-000041,1572910,PHILLIPS 66 PARTNERS LP,4610.0,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,855-283-9237,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,US,DE,383899432.0,,,,0,1231.0,8-K,20190731,2019.0,Q3,2019-08-01 09:31:00.0,0,0,mlp-form8xkjuly2019rev_htm.xml,1,,19,41,2019q3
20190801,0001572910-19-000044,1572910,PHILLIPS 66 PARTNERS LP,4610.0,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,855-283-9237,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,US,DE,383899432.0,,,,0,1231.0,8-K,20190731,2019.0,Q3,2019-08-01 17:03:00.0,0,0,mlp-form8xkaug2019blac_htm.xml,1,,19,44,2019q3
20191016,0001572910-19-000051,1572910,PHILLIPS 66 PARTNERS LP,4610.0,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,855-283-9237,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,US,DE,383899432.0,,,1-LAF,0,1231.0,8-K,20191031,2019.0,FY,2019-10-16 16:32:00.0,0,0,psxp2019q3cashdistribu_htm.xml,1,,19,51,2019q4
20191025,0001572910-19-000054,1572910,PHILLIPS 66 PARTNERS LP,4610.0,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,855-283-9237,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,US,DE,383899432.0,,,1-LAF,0,1231.0,8-K,20191031,2019.0,FY,2019-10-25 09:50:00.0,0,0,mlp-2019930er8xk_htm.xml,1,,19,54,2019q4
20191025,0001572910-19-000062,1572910,PHILLIPS 66 PARTNERS LP,4610.0,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,855-283-9237,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,US,DE,383899432.0,,,1-LAF,0,1231.0,10-Q,20190930,2019.0,Q3,2019-10-25 16:23:00.0,0,1,mlp-201993010q_htm.xml,1,,19,62,2019q4
20191106,0001572910-19-000067,1572910,PHILLIPS 66 PARTNERS LP,4610.0,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,855-283-9237,US,TX,HOUSTON,77042,2331 CITYWEST BLVD.,,US,DE,383899432.0,,,1-LAF,0,1231.0,8-K,20191031,2019.0,FY,2019-11-06 08:27:00.0,0,0,mlp-form8xkinvestorday_htm.xml,1,,19,67,2019q4
