filed,adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,accepted,prevrpt,detail,instance,nciks,aciks,yr,fik,quarter
20190123,0001376474-19-000020,1376474,DUTCH OVEN GOLD GROUP INC.,6770.0,CA,BC,WEST  VANCOUVER,V7V4S4,P.O. BOX 91983,C/O G.J. DE KLERK,604-925-7659,CA,BC,WEST  VANCOUVER,V7V4S4,P.O. BOX 91983,C/O G.J. DE KLERK,US,DE,0.0,NEXAM ACQUISITION CORP.,20070830.0,4-NON,0,1231.0,10-K,20181231,2018.0,FY,2019-01-23 11:42:00.0,0,0,dug-20181231_htm.xml,1,,19,20,2019q1
20190123,0001376474-19-000019,1376474,RAMPART STUDIOS INC.,6770.0,CA,BC,WEST VANCOUVER,V751M6,642 SOUTHBOROUGH DRIVE,C/O RAMPART CAPITAL CORP.,604-925-7659,CA,BC,WEST VANCOUVER,V7V4S4,P.O. BOX 91983,C/O G.J. DE KLERK,US,DE,0.0,"EDGEWORTH INVESTMENTS, INC.",20080414.0,4-NON,0,1231.0,10-K,20181231,2018.0,FY,2019-01-23 11:41:00.0,0,0,rmp-20181231_htm.xml,1,,19,19,2019q1
20190211,0001376474-19-000038,1376474,"NUZEE, INC.",5900.0,US,CA,VISTA,92081,2865 SCOTT STREET,SUITE 107,(760) 842-5522,US,CA,VISTA,92081,2865 SCOTT STREET,SUITE 107,US,NV,383849791.0,HAVANA FURNISHINGS INC.,20110815.0,4-NON,0,930.0,10-K,20180930,2018.0,FY,2019-02-11 15:30:00.0,0,1,nuze-20180930_htm.xml,1,,19,38,2019q1
20190325,0001376474-19-000054,1376474,REAL ESTATE ASSOCIATES LTD IV,6500.0,US,CA,BEVERLY HILLS,90211,9090 WILSHIRE BLVD,STE 201,310-278-2191,US,CA,BEVERLY HILLS,90211,9090 WILSHIRE BLVD,STE 201,US,CA,953718731.0,,,4-NON,0,1231.0,10-K,20181231,2018.0,FY,2019-03-25 08:54:00.0,0,1,real4-20181231_htm.xml,1,,19,54,2019q1
20190329,0001376474-19-000064,1376474,"NUZEE, INC.",5900.0,US,CA,VISTA,92081,2865 SCOTT STREET,SUITE 107,(760) 842-5522,US,CA,VISTA,92081,2865 SCOTT STREET,SUITE 107,US,NV,383849791.0,HAVANA FURNISHINGS INC.,20110815.0,4-NON,0,930.0,10-Q,20181231,2019.0,Q1,2019-03-29 17:04:00.0,0,1,nuze-20181231_htm.xml,1,,19,64,2019q1
20190329,0001376474-19-000061,1376474,1ST FRANKLIN FINANCIAL CORP,6141.0,US,GA,TOCCOA,30577,135 E TUGALO ST,P O BOX 880,7068867571,US,GA,TOCCOA,30577,135 EAST TUGALO STREET,PO  BOX  880,US,GA,580521233.0,FIRST FRANKLIN FINANCIAL CORP,19920703.0,4-NON,0,1231.0,10-K,20181231,2018.0,FY,2019-03-29 14:26:00.0,0,1,ffc-20181231.xml,1,,19,61,2019q1
20190401,0001376474-19-000068,1376474,FULLNET COMMUNICATIONS INC,4813.0,US,OK,OKLAHOMA CITY,73102,201 ROBERT S KERR AVENUE,SUITE 210,405-236-8200,US,OK,OKLAHOMA CITY,73102,201 ROBERT S KERR AVENUE,SUITE 210,US,OK,731473361.0,,,4-NON,0,1231.0,10-K,20181231,2018.0,FY,2019-04-01 15:14:00.0,0,1,fulo-20181231_htm.xml,1,,19,68,2019q2
20190416,0001376474-19-000095,1376474,GEOSPATIAL CORP,7389.0,US,PA,SARVER,16055,229 HOWES RUN ROAD,,7243533400,US,PA,SARVER,16055,229 HOWES RUN ROAD,,US,NV,870554463.0,"GEOSPATIAL HOLDINGS, INC.",20080501.0,4-NON,0,1231.0,10-K,20181231,2018.0,FY,2019-04-16 12:17:00.0,0,1,gsph-20181231_htm.xml,1,,19,95,2019q2
20190418,0001376474-19-000099,1376474,RAMPART STUDIOS INC.,6770.0,CA,BC,WEST VANCOUVER,V751M6,642 SOUTHBOROUGH DRIVE,C/O RAMPART CAPITAL CORP.,604-925-7659,CA,BC,WEST VANCOUVER,V7V4S4,P.O. BOX 91983,C/O G.J. DE KLERK,US,DE,0.0,"EDGEWORTH INVESTMENTS, INC.",20080414.0,4-NON,0,1231.0,10-Q,20190331,2019.0,Q1,2019-04-18 15:09:00.0,0,1,rmp-20190331_htm.xml,1,,19,99,2019q2
20190418,0001376474-19-000098,1376474,DUTCH OVEN GOLD GROUP INC.,6770.0,CA,BC,WEST  VANCOUVER,V7V4S4,P.O. BOX 91983,C/O G.J. DE KLERK,604-925-7659,CA,BC,WEST  VANCOUVER,V7V4S4,P.O. BOX 91983,C/O G.J. DE KLERK,US,DE,0.0,NEXAM ACQUISITION CORP.,20070830.0,4-NON,0,1231.0,10-Q,20190331,2019.0,Q1,2019-04-18 15:08:00.0,0,0,dug-20190331_htm.xml,1,,19,98,2019q2
20190510,0001376474-19-000116,1376474,REAL ESTATE ASSOCIATES LTD IV,6500.0,US,CA,BEVERLY HILLS,90211,9090 WILSHIRE BLVD,STE 201,310-278-2191,US,CA,BEVERLY HILLS,90211,9090 WILSHIRE BLVD,STE 201,US,CA,953718731.0,,,4-NON,0,1231.0,10-Q,20190331,2019.0,Q1,2019-05-10 12:22:00.0,0,1,real4-20190331_htm.xml,1,,19,116,2019q2
20190515,0001376474-19-000130,1376474,FULLNET COMMUNICATIONS INC,4813.0,US,OK,OKLAHOMA CITY,73102,201 ROBERT S KERR AVENUE,SUITE 210,405-236-8200,US,OK,OKLAHOMA CITY,73102,201 ROBERT S KERR AVENUE,SUITE 210,US,OK,731473361.0,,,4-NON,0,1231.0,10-Q,20190331,2019.0,Q1,2019-05-15 12:19:00.0,0,1,fulo-20190331_htm.xml,1,,19,130,2019q2
20190515,0001376474-19-000126,1376474,1ST FRANKLIN FINANCIAL CORP,6141.0,US,GA,TOCCOA,30577,135 E TUGALO ST,P O BOX 880,7068867571,US,GA,TOCCOA,30577,135 EAST TUGALO STREET,PO  BOX  880,US,GA,580521233.0,FIRST FRANKLIN FINANCIAL CORP,19920703.0,4-NON,0,1231.0,10-Q,20190331,2019.0,Q1,2019-05-15 09:13:00.0,0,1,ffc-20190331.xml,1,,19,126,2019q2
20190515,0001376474-19-000131,1376474,"NUZEE, INC.",5900.0,US,CA,VISTA,92081,2865 SCOTT STREET,SUITE 107,(760) 842-5522,US,CA,VISTA,92081,2865 SCOTT STREET,SUITE 107,US,NV,383849791.0,HAVANA FURNISHINGS INC.,20110815.0,4-NON,0,930.0,10-Q,20190331,2019.0,Q2,2019-05-15 15:25:00.0,0,1,nuze-20190331_htm.xml,1,,19,131,2019q2
20190520,0001376474-19-000138,1376474,GEOSPATIAL CORP,7389.0,US,PA,SARVER,16055,229 HOWES RUN ROAD,,7243533400,US,PA,SARVER,16055,229 HOWES RUN ROAD,,US,NV,870554463.0,"GEOSPATIAL HOLDINGS, INC.",20080501.0,4-NON,0,1231.0,10-Q,20190331,2019.0,Q1,2019-05-20 15:44:00.0,0,1,gsph-20190331_htm.xml,1,,19,138,2019q2
20190723,0001376474-19-000183,1376474,DUTCH OVEN GOLD GROUP INC.,6770.0,CA,BC,WEST  VANCOUVER,V7V4S4,P.O. BOX 91983,C/O G.J. DE KLERK,604-925-7659,CA,BC,WEST  VANCOUVER,V7V4S4,P.O. BOX 91983,C/O G.J. DE KLERK,US,DE,0.0,NEXAM ACQUISITION CORP.,20070830.0,4-NON,0,1231.0,10-Q,20190630,2019.0,Q2,2019-07-23 09:34:00.0,0,0,dug-20190630_htm.xml,1,,19,183,2019q3
20190723,0001376474-19-000184,1376474,RAMPART STUDIOS INC.,6770.0,CA,BC,WEST VANCOUVER,V751M6,642 SOUTHBOROUGH DRIVE,C/O RAMPART CAPITAL CORP.,604-925-7659,CA,BC,WEST VANCOUVER,V7V4S4,P.O. BOX 91983,C/O G.J. DE KLERK,US,DE,0.0,"EDGEWORTH INVESTMENTS, INC.",20080414.0,4-NON,0,1231.0,10-Q,20190630,2019.0,Q2,2019-07-23 09:35:00.0,0,1,rmp-20190630_htm.xml,1,,19,184,2019q3
20190806,0001376474-19-000198,1376474,GHAR INC,7389.0,US,NV,LAS VEGAS,89108,5348 VEGAS DRIVE,,18004044238,US,NV,LAS VEGAS,89108,5348 VEGAS DRIVE,,US,NV,0.0,,,4-NON,0,331.0,10-Q,20190630,2020.0,Q1,2019-08-06 09:05:00.0,0,1,ghar-20190630_htm.xml,1,,19,198,2019q3
