,2019q2,2018q4,2019q3,2019q1,2019q4
AllowanceForDoubtfulAccountsReceivableCurrent,1984000.0,1507000.0,2074000.0,1919000.0,2247000.0
PreferredStockParOrStatedValuePerShare,0.0001,0.0001,0.0001,0.0001,0.0001
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsCurrent,28763000.0,,41666000.0,30624000.0,32855000.0
PreferredStockSharesAuthorized,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
ShortTermInvestments,65646000.0,95964000.0,65646000.0,141462000.0,65646000.0
PreferredStockSharesIssued,0.0,0.0,0.0,0.0,0.0
PreferredStockSharesOutstanding,0.0,0.0,0.0,0.0,0.0
AccountsReceivableNetCurrent,70341000.0,63961000.0,60567000.0,63961000.0,65349000.0
CommonStockParOrStatedValuePerShare,0.0001,0.0001,0.0001,0.0001,0.0001
OtherReceivablesNetCurrent,15544000.0,17890000.0,15544000.0,19235000.0,15544000.0
CommonStockSharesAuthorized,304000000.0,304000000.0,304000000.0,224000000.0,304000000.0
DerivativeAssetCurrentRelatedParty,1508000.0,,1508000.0,0.0,1508000.0
CommonStockSharesIssued,203599892.0,203472977.0,203599892.0,203599892.0,203599892.0
InventoryNet,32653000.0,37103000.0,33870000.0,35238000.0,31040000.0
CommonStockSharesOutstanding,203599892.0,203472977.0,203599892.0,203599892.0,203599892.0
PrepaidExpenseAndOtherAssetsCurrent,8444000.0,7793000.0,8444000.0,8444000.0,8444000.0
AssetsCurrent,225606000.0,304897000.0,225606000.0,304897000.0,225606000.0
OperatingLeaseRightOfUseAsset,23801000.0,,0.0,,24043000.0
PropertyPlantAndEquipmentNet,338192000.0,367305000.0,328630000.0,350568000.0,322870000.0
RestrictedCashNoncurrent,4848000.0,,4848000.0,4000000.0,4848000.0
LongTermInvestmentsAndReceivablesNet,16948000.0,21397000.0,17470000.0,21397000.0,17470000.0
DerivativeAssetNoncurrentRelatedParty,8824000.0,,5041000.0,0.0,8824000.0
EquityMethodInvestments,26079000.0,30395000.0,26079000.0,,25870000.0
Goodwill,64328000.0,64328000.0,64328000.0,64328000.0,64328000.0
IntangibleAssetsNetExcludingGoodwill,2207000.0,3590000.0,1704000.0,3590000.0,1461000.0
Assets,697160000.0,791912000.0,694874000.0,699082000.0,685846000.0
LongTermDebtCurrent,4712000.0,,4712000.0,,4712000.0
CapitalLeaseObligationsCurrent,693000.0,,,,
FinanceLeaseLiabilityCurrent,695000.0,,693000.0,,693000.0
OperatingLeaseLiabilityCurrent,3545000.0,,0.0,,0.0
AccountsPayableCurrent,19024000.0,12849000.0,19024000.0,19024000.0,13972000.0
AccruedLiabilitiesCurrent,48469000.0,42268000.0,48469000.0,48469000.0,48469000.0
DeferredRevenue,6858000.0,,7438000.0,7361000.0,6855000.0
LiabilitiesCurrent,68609000.0,203300000.0,80259000.0,80259000.0,80259000.0
LongTermDebtNoncurrent,76501000.0,,24912000.0,,75003000.0
CapitalLeaseObligationsNoncurrent,3776000.0,,,,
FinanceLeaseLiabilityNoncurrent,3718000.0,,3236000.0,,3140000.0
OperatingLeaseLiabilityNoncurrent,21621000.0,,22245000.0,,21901000.0
OtherLiabilitiesNoncurrent,15035000.0,15348000.0,15035000.0,18566000.0,15035000.0
Liabilities,174073000.0,324045000.0,174073000.0,342254000.0,183379000.0
CommitmentsAndContingencies,,,,,
PreferredStockValue,0.0,0.0,0.0,0.0,0.0
CommonStockValue,20000.0,15000.0,20000.0,20000.0,20000.0
AdditionalPaidInCapitalCommonStock,1200418000.0,1111432000.0,1198769000.0,1111432000.0,1198769000.0
RetainedEarningsAccumulatedDeficit,-688653000.0,-695515000.0,-704982000.0,-688653000.0,-688653000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1764000.0,-887000.0,-2138000.0,-887000.0,-2138000.0
StockholdersEquity,507998000.0,426990000.0,507998000.0,426990000.0,507998000.0
MinorityInterest,17011000.0,22668000.0,17011000.0,17011000.0,17011000.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,449658000.0,519385000.0,449658000.0,328945000.0,530150000.0
LiabilitiesAndStockholdersEquity,699082000.0,791912000.0,699082000.0,791912000.0,685846000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,37208000.0,,,
LongTermDebtAndCapitalLeaseObligationsCurrent,,139699000.0,,139699000.0,
ContractWithCustomerLiabilityCurrent,,3432000.0,,,
LongTermDebtAndCapitalLeaseObligationsExcludingRelatedParties,,120388000.0,,,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,,,,30395000.0,
LongTermDebtCapitalLeaseAndFinancingLeaseObligationsExcludingRelatedParties,,,,78779000.0,
