,2019q2,2018q4,2019q3,2019q1,2019q4
Revenues,1535000.0,23857000.0,41289000.0,20149000.0,
DirectCostsOfLeasedAndRentedPropertyOrEquipment,1609000.0,8623000.0,2960000.0,11225000.0,
GeneralAndAdministrativeExpense,2891000.0,1574000.0,6112000.0,6251000.0,
AffiliateCosts,2404000.0,,4804000.0,10611000.0,
DepreciationAndAmortization,8793000.0,43309000.0,7304000.0,47591000.0,
OperatingExpenses,35895000.0,63712000.0,33465000.0,19237000.0,
OperatingIncomeLoss,-34360000.0,26260000.0,2605000.0,-34360000.0,
InterestIncomeExpenseNonoperatingNet,-3071000.0,-5324000.0,-5877000.0,-23323000.0,
ProvisionForLoanLossesExpensed,1190000.0,2750000.0,2179000.0,11936000.0,
NonoperatingIncomeExpense,-3404000.0,-2145000.0,-7377000.0,-18895000.0,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-37764000.0,1486000.0,1947000.0,-3692000.0,
IncomeLossFromDiscontinuedOperationsNetOfTax,0.0,29711000.0,0.0,10189000.0,
NetIncomeLoss,-17231000.0,5570000.0,1947000.0,2060000.0,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,636000.0,1326000.0,-648000.0,4403000.0,
OtherComprehensiveIncomeLossNetOfTax,636000.0,1326000.0,-212000.0,4403000.0,
ComprehensiveIncomeNetOfTax,-16595000.0,-5577000.0,5430000.0,35639000.0,
WeightedAverageNumberOfSharesOutstandingBasic,185673400.0,182671045.0,181128292.0,185300384.0,
WeightedAverageNumberOfDilutedSharesOutstanding,185673400.0,182671045.0,181128292.0,186182196.0,
IncomeLossFromContinuingOperationsPerBasicShare,0.01,-0.02,0.01,-0.21,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.11,0.14,0.0,0.2,
EarningsPerShareBasic,-0.09,0.03,0.01,-0.02,
IncomeLossFromContinuingOperationsPerDilutedShare,0.01,-0.02,-0.04,0.0,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0.11,0.2,0.18,0.05,
EarningsPerShareDiluted,0.01,-0.03,-0.06,0.03,
CommonStockDividendsPerShareDeclared,0.08,3.4,0.16,,
OperatingLeasesIncomeStatementLeaseRevenue,,71825000.0,,91226000.0,
ProvisionForDoubtfulAccountsOperatingLeaseRevenue,,3357000.0,,24628000.0,
TenantReimbursements,,1298000.0,,,
ProvisionForDoubtfulAccountsTenantReimbursements,,481000.0,,2825000.0,
AssetManagementCosts,,7408000.0,,,
OtherNonoperatingIncome,,3603000.0,,13295000.0,
ImpairmentOfRealEstate,,0.0,5831000.0,6588000.0,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,0.0,-3000.0,218000.0,
ProfitLoss,,5603000.0,-17231000.0,35157000.0,
NetIncomeLossAttributableToNoncontrollingInterest,,-15000.0,-48000.0,44308000.0,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,7151000.0,-11213000.0,223221000.0,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,-15000.0,0.0,3921000.0,
OperatingLeasesIncomeStatementTenantReimbursementRevenue,,,,8557000.0,
BusinessCombinationAcquisitionRelatedCosts,,,,0.0,
