,2019q2,2018q4,2019q3,2019q1,2019q4
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,,0.001
CashAndCashEquivalentsAtCarryingValue,16512000.0,22632000.0,2071000.0,,656000.0
PreferredStockSharesAuthorized,1000000.0,1000000.0,1000000.0,,1000000.0
RestrictedCashAndInvestmentsCurrent,11139000.0,11670000.0,,,
PreferredStockSharesIssued,0.0,0.0,0.0,,0.0
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,,0.001
AccountsReceivableNetCurrent,6369000.0,4753000.0,5762000.0,,5762000.0
PrepaidExpenseAndOtherAssetsCurrent,12128000.0,8710000.0,7213000.0,,6233000.0
CommonStockSharesAuthorized,100000000.0,100000000.0,100000000.0,,100000000.0
CommonStockSharesIssued,28406026.0,28406026.0,46130159.0,,48430159.0
NotesAndLoansReceivableNetCurrent,100000.0,290000.0,100000.0,,100000.0
AssetsCurrent,43783000.0,35120000.0,13984000.0,,44145000.0
CommonStockSharesOutstanding,28406026.0,36468696.0,39053312.0,,39053312.0
NotesAndLoansReceivableNetNoncurrent,0.0,100000.0,,,
OperatingLeaseRightOfUseAsset,0.0,,0.0,,0.0
PropertyPlantAndEquipmentNet,13387000.0,11630000.0,1795000.0,,1591000.0
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,1960000.0,1030000.0,1944000.0,,1920000.0
IntangibleAssetsNetExcludingGoodwill,17930000.0,23946000.0,838000.0,,752000.0
Goodwill,18514000.0,26763000.0,,,
OtherAssetsNoncurrent,644000.0,1192000.0,450000.0,,450000.0
OtherLongTermAssets,1192000.0,,,,
Assets,99504000.0,103537000.0,25451000.0,,21483000.0
AccountsPayableCurrent,30876000.0,23956000.0,5675000.0,,5675000.0
AccruedLiabilitiesCurrent,31921000.0,18795000.0,16812000.0,,16812000.0
ContractWithCustomerLiabilityDeferredMerchantBooking,10747000.0,8727000.0,,,
ContractWithCustomerLiabilityCurrent,3691000.0,3691000.0,222000.0,,312000.0
NotesPayableCurrent,3000000.0,3000000.0,3000000.0,,3000000.0
LongTermDebtCurrent,35547000.0,38085000.0,11248000.0,,11632000.0
LiabilitiesCurrent,102581000.0,90085000.0,102581000.0,,102581000.0
OperatingLeaseLiabilityNoncurrent,7339000.0,,5838000.0,,5436000.0
DerivativeLiabilitiesNoncurrent,1383000.0,89169000.0,1383000.0,,1383000.0
OtherLiabilitiesNoncurrent,2968000.0,3501000.0,2934000.0,,2934000.0
Liabilities,183125000.0,100453000.0,42350000.0,,41707000.0
CommitmentsAndContingencies,,,,,
PreferredStockValue,0.0,0.0,0.0,,0.0
CommonStockValue,39000.0,36000.0,46000.0,,48000.0
AdditionalPaidInCapital,310618000.0,304006000.0,308018000.0,,308018000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax,115000.0,115000.0,32000.0,,32000.0
RetainedEarningsAccumulatedDeficit,-321213000.0,-314094000.0,-332839000.0,,-337780000.0
StockholdersEquity,-79588000.0,-10004000.0,-16899000.0,,-20224000.0
LiabilitiesAndStockholdersEquity,99504000.0,90449000.0,25451000.0,,21483000.0
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,0.0,,0.0
DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent,,,0.0,,0.0
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,41648000.0,,41648000.0
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,,0.0,,0.0
