,2019q2,2018q4,2019q3,2019q1,2019q4
ProfitLoss,24338000.0,26066000.0,24338000.0,140047000.0,24338000.0
DepreciationDepletionAndAmortization,5100000.0,26195000.0,8362000.0,22406000.0,11746000.0
EquityMethodInvestmentDividendsOrDistributions,10153000.0,34653000.0,22403000.0,46550000.0,25480000.0
EquityMethodInvestmentSummarizedFinancialInformationRevenue,130436000.0,27676000.0,213101000.0,486759000.0,397378000.0
GainLossOnDispositionOfAssets1,651000.0,171000.0,168000.0,3545000.0,0.0
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,-46000.0,-24000.0,1033000.0,6266000.0,206000.0
AssetImpairmentCharges,242000.0,242000.0,0.0,2967000.0,484000.0
ShareBasedCompensation,687000.0,1226000.0,990000.0,1217000.0,1144000.0
OtherOperatingActivitiesCashFlowStatement,1154000.0,6547000.0,2151000.0,9077000.0,4021000.0
IncreaseDecreaseInAccountsReceivable,10027000.0,7004000.0,7043000.0,-1545000.0,-4731000.0
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,869000.0,730000.0,-1177000.0,-185000.0,-822000.0
IncreaseDecreaseInAccruedLiabilities,-6164000.0,-7096000.0,-3287000.0,3628000.0,-3193000.0
IncreaseDecreaseInInterestPayableNet,-10033000.0,-9944000.0,-875000.0,-1138000.0,19000.0
IncreaseDecreaseInDeferredRevenue,4534000.0,-5000.0,-2684000.0,-35881000.0,-3920000.0
IncreaseDecreaseInOtherOperatingAssets,-2680000.0,846000.0,2501000.0,-320000.0,-351000.0
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,17414000.0,81394000.0,76191000.0,80243000.0,117925000.0
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,121000.0,-607000.0,2836000.0,14988000.0,9755000.0
NetCashProvidedByUsedInOperatingActivities,19799000.0,80787000.0,74143000.0,127139000.0,117921000.0
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,0.0,5646000.0,0.0,0.0,2097000.0
PaymentsForProceedsFromProductiveAssets,-256000.0,-1149000.0,-503000.0,-2449000.0,-826000.0
ProceedsFromCollectionOfLeaseReceivables,487000.0,2606000.0,892000.0,0.0,2606000.0
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,697000.0,3440000.0,3939000.0,7607000.0,7962000.0
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,-3413000.0,206000.0,-5772000.0,101758000.0,-9343000.0
NetCashProvidedByUsedInInvestingActivities,307000.0,3646000.0,961000.0,3543000.0,-3814000.0
ProceedsFromIssuanceOfLongTermDebt,35000000.0,35000000.0,35000000.0,20000000.0,35000000.0
RepaymentsOfLongTermDebt,40800000.0,55720000.0,48072000.0,183141000.0,442747000.0
NetCashProvidedByUsedInDiscontinuedOperations,-269000.0,-469000.0,-79000.0,52642000.0,-560000.0
ProceedsFromPaymentsForOtherFinancingActivities,-10000.0,,-26402000.0,,26427000.0
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-99852000.0,-70643000.0,-50897000.0,-146373000.0,-71695000.0
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,269000.0,469000.0,1735000.0,-139805000.0,560000.0
NetCashProvidedByUsedInFinancingActivities,-28301000.0,-3560000.0,-49162000.0,-286178000.0,-219194000.0
CashAndCashEquivalentsPeriodIncreaseDecrease,-8675000.0,33560000.0,,-11402000.0,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-76323000.0,,-120255000.0,,-93867000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,20790000.0,,85775000.0,26980000.0,26980000.0
DisposalGroupIncludingDiscontinuedOperationCashAndCashEquivalents,0.0,,,11529000.0,2847000.0
CashandCashEquivalentsatCarryingValueContinuingandDiscontinuedOperations,29827000.0,63387000.0,,,
InterestPaid,26023000.0,61857000.0,33155000.0,72850000.0,36270000.0
AmortizationofIntangibleAssetsRelatedParties,,0.0,,0.0,
GainsLossesOnRestructuringOfDebt,,0.0,,0.0,
GainsLossesOnExtinguishmentOfDebt,,0.0,0.0,0.0,-29282000.0
OtherOperatingActivitiesCashFlowStatementAffiliates,,974000.0,,201000.0,
IncreaseDecreaseInAccountsReceivableRelatedParties,,-139000.0,,313000.0,
IncreaseDecreaseInAccountsPayableRelatedParties,,-270000.0,,1000.0,
IncreaseDecreaseInOtherAccruedLiabilities,,0.0,,0.0,
IncreaseDecreaseInDeferredRevenueAffiliates,,-10166000.0,,-12063000.0,
ProceedsFromCollectionOfLeaseReceivablesAffiliates,,0.0,,0.0,
PaymentsToAcquirePropertyPlantAndEquipment,,9666000.0,,28000.0,
ProceedsFromIssuanceOfConvertiblePreferredStock,,0.0,,0.0,
ProceedsFromIssuanceOfSeniorLongTermDebt,,0.0,,103688000.0,
PaymentsOfFinancingCosts,,982000.0,,228000.0,
DebtConversionConvertedInstrumentAmount1,,0.0,,0.0,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsDisposalGroupIncludingDiscontinuedOperations,,,2847000.0,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,,,29827000.0,206030000.0,206030000.0
IncreaseDecreaseinInterestPayableNetRelatedParties,,,,-456000.0,
