filed,adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,accepted,prevrpt,detail,instance,nciks,aciks,yr,fik,quarter
20181106,0001286225-18-000038,1286225,REALPAGE INC,7372.0,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,972-820-4853,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,US,DE,752788861.0,,,1-LAF,0,1231.0,10-Q,20180930,2018.0,Q3,2018-11-06 17:21:00.0,0,1,rp-20180930.xml,1,,18,38,2018q4
20190227,0001286225-19-000007,1286225,REALPAGE INC,7372.0,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,972-820-4853,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,US,DE,752788861.0,,,1-LAF,1,1231.0,10-K,20181231,2018.0,FY,2019-02-27 17:17:00.0,0,1,rp-20181231.xml,1,,19,7,2019q1
20190508,0001286225-19-000010,1286225,REALPAGE INC,7372.0,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,972-820-4853,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,US,DE,752788861.0,,,1-LAF,0,1231.0,10-Q,20190331,2019.0,Q1,2019-05-07 19:32:00.0,0,1,rp-20190331.xml,1,,19,10,2019q2
20190809,0001286225-19-000020,1286225,REALPAGE INC,7372.0,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,972-820-4853,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,US,DE,752788861.0,,,1-LAF,0,1231.0,10-Q,20190630,2019.0,Q2,2019-08-09 15:12:00.0,0,1,rp-2019063010q_htm.xml,1,,19,20,2019q3
20190905,0001286225-19-000024,1286225,"REALPAGE, INC.",7372.0,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,972-820-3915,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,US,DE,752788861.0,REALPAGE INC,20040406.0,,0,1231.0,8-K,20190831,2019.0,Q3,2019-09-05 16:49:00.0,0,0,a20190830form8kcreditf_htm.xml,1,,19,24,2019q3
20191023,0001286225-19-000026,1286225,"REALPAGE, INC.",7372.0,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,972-820-3915,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,US,DE,752788861.0,REALPAGE INC,20040406.0,1-LAF,0,1231.0,8-K,20191031,2019.0,FY,2019-10-23 08:03:00.0,0,0,a20191021form8-kxdanaj_htm.xml,1,,19,26,2019q4
20191105,0001286225-19-000030,1286225,"REALPAGE, INC.",7372.0,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,972-820-3915,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,US,DE,752788861.0,REALPAGE INC,20040406.0,1-LAF,1,1231.0,10-K/A,20181231,2018.0,FY,2019-11-04 20:24:00.0,0,1,rp-20181231.xml,1,,19,30,2019q4
20191105,0001286225-19-000034,1286225,"REALPAGE, INC.",7372.0,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,972-820-3915,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,US,DE,752788861.0,REALPAGE INC,20040406.0,1-LAF,0,1231.0,10-Q/A,20190630,2019.0,Q2,2019-11-04 20:41:00.0,0,0,rp-2019063010qa_htm.xml,1,,19,34,2019q4
20191106,0001286225-19-000036,1286225,"REALPAGE, INC.",7372.0,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,972-820-3915,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,US,DE,752788861.0,REALPAGE INC,20040406.0,1-LAF,0,1231.0,8-K,20191031,2019.0,FY,2019-11-06 16:15:00.0,0,0,form8-kprojectbruin_htm.xml,1,,19,36,2019q4
20191108,0001286225-19-000039,1286225,"REALPAGE, INC.",7372.0,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,972-820-3915,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,US,DE,752788861.0,REALPAGE INC,20040406.0,1-LAF,0,1231.0,10-Q,20190930,2019.0,Q3,2019-11-08 17:16:00.0,0,1,rp-2019093010q_htm.xml,1,,19,39,2019q4
20191218,0001286225-19-000042,1286225,"REALPAGE, INC.",7372.0,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,972-820-3915,US,TX,RICHARDSON,75082,2201 LAKESIDE BLVD,,US,DE,752788861.0,REALPAGE INC,20040406.0,1-LAF,0,1231.0,8-K,20191231,2019.0,FY,2019-12-18 08:53:00.0,0,0,form8-kprojectbruinxcl_htm.xml,1,,19,42,2019q4
