,2019q2,2018q4,2019q3,2019q1,2019q4
AllowanceForDoubtfulAccountsReceivableCurrent,12000.0,,,,
SalesRevenueNet,15438000.0,99605000.0,,87709000.0,
CommonStockParOrStatedValuePerShare,0.1,,,,
CostOfGoodsAndServicesSold,16966000.0,74128000.0,,80459000.0,
CommonStockSharesAuthorized,80000000.0,,,,
GrossProfit,3318000.0,21185000.0,,10000000.0,
CommonStockSharesIssued,46501538.0,,,,
SellingGeneralAndAdministrativeExpense,9700000.0,14565000.0,,38186000.0,
CommonStockSharesOutstanding,45996186.0,,,,
ResearchAndDevelopmentExpense,4908000.0,4909000.0,,19983000.0,
RestructuringCharges,-57000.0,1251000.0,,2232000.0,
OperatingExpenses,12634000.0,52589000.0,,57000000.0,
OperatingIncomeLoss,-9316000.0,-13401000.0,,-51698000.0,
InterestIncomeExpenseNonoperatingNet,-1063000.0,-152000.0,,-1413000.0,
OtherComponentsofDefinedBenefitPlansNet,-29000.0,217000.0,,-110000.0,
OtherNonoperatingIncomeExpense,71000.0,7000.0,,105000.0,
ForeignCurrencyTransactionGainLossBeforeTax,-184000.0,-383000.0,,-479000.0,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-10388000.0,-13333000.0,,-53303000.0,
IncomeTaxExpenseBenefit,126000.0,3117000.0,,559000.0,
IncomeLossFromContinuingOperations,-17620000.0,,,-44442000.0,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,0.0,,,7894000.0,
NetIncomeLoss,-9205000.0,-13860000.0,,-43129000.0,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.38,,,-1.52,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicAndDilutedShare,0.03,,,0.3,
EarningsPerShareBasicAndDiluted,-0.25,-0.37,,-1.22,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,46220000.0,39381000.0,,41031000.0,
AssetImpairmentCharges,,,,218000.0,
