,2019q2,2018q4,2019q3,2019q1,2019q4
RevenueFromContractWithCustomerExcludingAssessedTax,,,108241000.0,,102437000.0
CostOfRevenue,,,173442000.0,,46495000.0
GrossProfit,,,59865000.0,,61681000.0
SellingAndMarketingExpense,,,77523000.0,,23022000.0
ResearchAndDevelopmentExpense,,,53055000.0,,18349000.0
GeneralAndAdministrativeExpense,,,46535000.0,,13345000.0
AmortizationOfIntangibleAssets,,,24246000.0,,5326000.0
GoodwillImpairmentLoss,,,7529000.0,,
OperatingExpenses,,,208888000.0,,62332000.0
OperatingIncomeLoss,,,3079000.0,,-651000.0
InvestmentIncomeInterest,,,670000.0,,
InterestExpense,,,11170000.0,,
OtherNonoperatingIncomeExpense,,,6928000.0,,-713000.0
NonoperatingIncomeExpense,,,3815000.0,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,6894000.0,,-1364000.0
IncomeTaxExpenseBenefit,,,-8203000.0,,-1334000.0
NetIncomeLoss,,,3557000.0,,-1367000.0
EarningsPerShareBasicAndDiluted,,,-0.88,,-0.02
WeightedAverageNumberOfSharesOutstandingBasic,,,40612000.0,,
WeightedAverageNumberOfDilutedSharesOutstanding,,,39326000.0,,
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,14000.0,,-3000.0
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPortionAttributableToParent,,,-3875000.0,,327000.0
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPortionAttributableToParent,,,-4859000.0,,-180000.0
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,559000.0,,-5879000.0
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,5343000.0,,-1088000.0
ComprehensiveIncomeNetOfTax,,,-27794000.0,,-7746000.0
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,41487000.0
OtherComprehensiveIncomeLossDerivativeExcludedComponentIncreaseDecreaseAfterAdjustmentsAndTaxParent,,,,,-677000.0
