,2019q2,2018q4,2019q3,2019q1,2019q4
AllowanceForDoubtfulAccountsReceivableCurrent,2040000.0,2040000.0,2562000.0,2040000.0,3259000.0
PreferredStockNoParValue,0.0,0.0,0.0,0.0,0.0
PreferredStockSharesAuthorized,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0
CashAndCashEquivalentsAtCarryingValue,424707000.0,390460000.0,688350000.0,424707000.0,599219000.0
PreferredStockSharesOutstanding,0.0,0.0,0.0,0.0,0.0
ShortTermInvestments,614705000.0,343700000.0,298137000.0,614705000.0,614705000.0
CommonStockNoParValue,0.0,0.0,0.0,0.0,0.0
AccountsReceivableNetCurrent,321484000.0,295352000.0,320465000.0,325688000.0,322029000.0
InventoryNet,30568000.0,29834000.0,30568000.0,30568000.0,30568000.0
CommonStockSharesAuthorized,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0
OtherAssetsCurrent,138736000.0,52326000.0,52326000.0,129793000.0,182874000.0
CommonStockSharesIssued,60215000.0,60215000.0,60129000.0,60215000.0,60215000.0
CommonStockSharesOutstanding,62594000.0,60215000.0,62594000.0,60215000.0,60215000.0
AssetsCurrent,1417658000.0,1417658000.0,1417658000.0,1417658000.0,1511586000.0
PropertyPlantAndEquipmentNet,208221000.0,145042000.0,226002000.0,145042000.0,223426000.0
LongTermInvestments,411184000.0,411184000.0,161619000.0,411184000.0,411184000.0
DeferredIncomeTaxAssetsNet,33441000.0,,33441000.0,23131000.0,
Goodwill,555965000.0,555965000.0,555965000.0,555965000.0,555965000.0
OtherAssetsNoncurrent,42186000.0,53775000.0,42186000.0,100250000.0,42186000.0
Assets,2605476000.0,2476489000.0,3177275000.0,2891896000.0,3390275000.0
AccountsPayableCurrent,68156000.0,57757000.0,57757000.0,66859000.0,57757000.0
AccruedLiabilitiesCurrent,197295000.0,180979000.0,180979000.0,184446000.0,235869000.0
ContractWithCustomerLiabilityCurrent,715697000.0,,715697000.0,715697000.0,807030000.0
LiabilitiesCurrent,1074787000.0,954433000.0,1072066000.0,1047690000.0,954433000.0
OtherLiabilitiesNoncurrent,95530000.0,44589000.0,65892000.0,65892000.0,131853000.0
ContractWithCustomerLiabilityNoncurrent,352109000.0,,299624000.0,353136000.0,299624000.0
DeferredIncomeTaxLiabilitiesNet,402000.0,,352000.0,35000.0,
LiabilitiesNoncurrent,448041000.0,365551000.0,481427000.0,435018000.0,523252000.0
CommitmentsAndContingencies,,,,,
PreferredStockValue,0.0,0.0,0.0,0.0,0.0
CommonStockValue,20427000.0,17627000.0,20427000.0,20427000.0,20427000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-22178000.0,-22178000.0,-18193000.0,-22178000.0,-19190000.0
RetainedEarningsAccumulatedDeficit,1287243000.0,1287243000.0,1287243000.0,1417904000.0,1287243000.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1409188000.0,1285492000.0,1623782000.0,1409188000.0,1285492000.0
LiabilitiesAndStockholdersEquity,2605476000.0,2605476000.0,3177275000.0,2891896000.0,2605476000.0
DeferredTaxAssetsNetNoncurrent,,33441000.0,,,27701000.0
DeferredRevenueCurrent,,696404000.0,,,
DeferredRevenueNoncurrent,,299624000.0,,,
DeferredTaxLiabilitiesNoncurrent,,35000.0,,,313000.0
