,2019q2,2018q4,2019q3,2019q1,2019q4
RevenueFromContractWithCustomerExcludingAssessedTax,357082000.0,365854000.0,383645000.0,258636000.0,365854000.0
CostOfGoodsAndServicesSold,128912000.0,101757000.0,137565000.0,571496000.0,142636000.0
ResearchAndDevelopmentExpense,18325000.0,46275000.0,37433000.0,78041000.0,53280000.0
SellingGeneralAndAdministrativeExpense,163566000.0,145945000.0,176597000.0,455629000.0,173098000.0
AmortizationOfIntangibleAssets,5279000.0,14976000.0,11004000.0,13862000.0,21340000.0
CostsAndExpenses,327382000.0,1012236000.0,665068000.0,1361443000.0,1012236000.0
OperatingIncomeLoss,32308000.0,10642000.0,27634000.0,115340000.0,23677000.0
InvestmentIncomeInterest,76000.0,89000.0,2710000.0,255000.0,2913000.0
InterestExpense,13149000.0,14478000.0,13384000.0,64683000.0,13962000.0
OtherNonoperatingIncomeExpense,2245000.0,1750000.0,2427000.0,8288000.0,6422000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,24823000.0,32887000.0,12731000.0,57403000.0,-27509000.0
IncomeTaxExpenseBenefit,-7933000.0,76000.0,1355000.0,-3398000.0,-1185000.0
NetIncomeLoss,32756000.0,35663000.0,62492000.0,25138000.0,34882000.0
EarningsPerShareBasic,0.38,0.04,0.28,1.0,0.41
EarningsPerShareDiluted,0.38,0.43,0.27,0.14,0.4
WeightedAverageNumberOfSharesOutstandingBasic,85343000.0,76387000.0,82423000.0,74386000.0,85536000.0
WeightedAverageNumberOfDilutedSharesOutstanding,86258000.0,83142000.0,86257000.0,79194000.0,83142000.0
ComprehensiveIncomeNetOfTax,32604000.0,53759000.0,21401000.0,,12330000.0
ResearchAndDevelopmentInProcess,,,,,61566000.0
