,2019q2,2018q4,2019q3,2019q1,2019q4
CashAndCashEquivalentsAtCarryingValue,196128000.0,217749000.0,196128000.0,196128000.0,197762000.0
AllowanceForDoubtfulAccountsReceivableCurrent,4448000.0,3030000.0,4781000.0,3382000.0,3382000.0
AccountsReceivableRelatedPartiesCurrent,349000.0,169000.0,349000.0,349000.0,193000.0
AccountsReceivableNetCurrent,38368000.0,39169000.0,49286000.0,47760000.0,45607000.0
PrepaidExpenseCurrent,7468000.0,9291000.0,7468000.0,7468000.0,8347000.0
AccountsPayableRelatedPartiesCurrent,3382000.0,5659000.0,4225000.0,3200000.0,6030000.0
OtherAssetsCurrent,7777000.0,5806000.0,4103000.0,4103000.0,4103000.0
AccruedExpensesAndOtherCurrentLiabilitiesRelatedParties,1284000.0,52000.0,2151000.0,,218000.0
AssetsCurrent,233127000.0,280271000.0,268859000.0,243551000.0,261259000.0
PreferredStockParOrStatedValuePerShare,0.0001,0.0001,0.0001,0.0001,0.0001
PreferredStockSharesAuthorized,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0
PropertyPlantAndEquipmentNet,61511000.0,69174000.0,61511000.0,70710000.0,61511000.0
OperatingLeaseRightOfUseAsset,0.0,,0.0,,0.0
PreferredStockSharesIssued,0.0,0.0,0.0,0.0,0.0
Goodwill,73311000.0,53270000.0,73311000.0,53270000.0,73311000.0
PreferredStockSharesOutstanding,0.0,0.0,0.0,0.0,0.0
CommonStockParOrStatedValuePerShare,0.0001,0.0001,0.0001,0.0001,0.0001
IntangibleAssetsNetExcludingGoodwill,23451000.0,13016000.0,23451000.0,15912000.0,23451000.0
EquityMethodInvestments,0.0,,0.0,,22437000.0
CommonStockSharesAuthorized,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
CommonStockSharesIssued,104337508.0,100428656.0,104337508.0,104337508.0,106492395.0
OtherAssetsNoncurrent,7228000.0,1391000.0,4738000.0,1391000.0,4247000.0
CommonStockSharesOutstanding,104337508.0,100428656.0,104337508.0,100428656.0,104337508.0
Assets,420960000.0,420844000.0,420960000.0,384834000.0,420960000.0
AccountsPayableCurrent,26305000.0,26933000.0,26305000.0,26305000.0,26305000.0
EmployeeRelatedLiabilitiesCurrent,4349000.0,5034000.0,4349000.0,4349000.0,6216000.0
OperatingLeaseLiabilityCurrent,6849000.0,,6933000.0,,6383000.0
AccruedLiabilitiesCurrent,13724000.0,12790000.0,10908000.0,12790000.0,10908000.0
LiabilitiesCurrent,45834000.0,49528000.0,87081000.0,41562000.0,77223000.0
DeferredIncomeTaxLiabilities,640000.0,605000.0,568000.0,,568000.0
LeaseFinancingObligation,22987000.0,29129000.0,22987000.0,29129000.0,22987000.0
OperatingLeaseLiabilityNoncurrent,0.0,,0.0,,0.0
OtherLiabilitiesNoncurrent,9290000.0,3797000.0,9290000.0,3797000.0,9290000.0
Liabilities,93730000.0,77002000.0,130111000.0,74407000.0,118605000.0
CommitmentsAndContingencies,,,,,
PreferredStockValue,0.0,0.0,0.0,0.0,0.0
CommonStockValue,10000.0,10000.0,10000.0,10000.0,10000.0
AdditionalPaidInCapitalCommonStock,731394000.0,664192000.0,720025000.0,720025000.0,753217000.0
RetainedEarningsAccumulatedDeficit,-391537000.0,-367089000.0,-415597000.0,-373482000.0,-373482000.0
StockholdersEquity,339867000.0,343842000.0,339867000.0,224581000.0,343842000.0
LiabilitiesAndStockholdersEquity,420960000.0,384834000.0,420960000.0,384834000.0,420960000.0
DueToRelatedPartiesCurrent,,,,52000.0,
DeferredIncomeTaxLiabilitiesNet,,,,568000.0,
